concept,concept_type,domain,name,sid,source,unit
aggregation_method,entity_domain,,Polling aggregation method,,,
country,entity_domain,,Country,,,
gender,entity_domain,,Gender,,,
jurisdiction,entity_domain,,Jurisdiction,,,
landlocked,bool,,Is landlocked,,,
locale,entity_domain,,Locale,,,
name,string,,Name,,,
party,entity_domain,,Political party,,,
pollster,entity_domain,,Pollster,,,
region4,entity_domain,,World Region (4),,,
region6,entity_domain,,World Region (6),,,
source,entity_domain,,Data source,,,
topic,entity_domain,,Topic,,,
year,time,,Year,,,
unsc_comments1,string,,Comments,COMMENTS1,unsc,
unsc_first_name,string,,First name,FIRST_NAME,unsc,
unsc_fourth_name,string,,Fourth name,FOURTH_NAME,unsc,
unsc_listed_on,time,,Date listed on,LISTED_ON,unsc,
unsc_name_original_script,string,,Name in original script,NAME_ORIGINAL_SCRIPT,unsc,
unsc_reference_number,string,,Reference number,REFERENCE_NUMBER,unsc,
unsc_sanctioned_entity,entity_domain,,Data ID,DATAID,unsc,
unsc_sanctioned_individual,entity_domain,,Data ID,DATAID,unsc,
unsc_second_name,string,,Second name,SECOND_NAME,unsc,
unsc_submitted_by,string,,Submitted by country,SUBMITTED_BY,unsc,
unsc_submitted_on,time,,Submitton on date,SUBMITTED_ON,unsc,
unsc_third_name,string,,Third name,THIRD_NAME,unsc,
unsc_un_list_type,string,,UN list type,UN_LIST_TYPE,unsc,
unsc_versionnum,string,,Version number,VERSIONNUM,unsc,
wikipedia_flow,composite,"[wikipedia_visa_country_from, wikipedia_visa_country_to]",,,wikipedia,
wikipedia_head_gov,entity_domain,,Head of government name,,wikipedia,
wikipedia_head_gov_title,string,,Head of government title,,wikipedia,
wikipedia_head_state,entity_domain,,Head of state name,,wikipedia,
wikipedia_head_state_title,string,,Head of state title,,wikipedia,
wikipedia_parl_next,string,,Date of next parliamentary election,,wikipedia,
wikipedia_parl_prev,string,,Date of previous parliamentary election,,wikipedia,
wikipedia_parl_term,measure,,Parliamentary term length,,wikipedia,years
wikipedia_pres_next,string,,Date of next parliamentary election,,wikipedia,
wikipedia_pres_prev,string,,Date of previous presidential election,,wikipedia,
wikipedia_pres_term,measure,,Presidential term length,,wikipedia,years
wikipedia_visa_allowed_stay,measure,,Visa allowed stay,,wikipedia,days
wikipedia_visa_country_from,role,country,Visa origin country,,wikipedia,
wikipedia_visa_country_to,role,country,Visa destination country,,wikipedia,
wikipedia_visa_reciprocity,bool,,Visa reciprocity,,wikipedia,
wikipedia_visa_requirement,entity_domain,,Visa requirement,,wikipedia,
nobel_born,time,,Date born,born,nobel,
nobel_born_city,string,,Born in city,bornCity,nobel,
nobel_born_country,role,country,Born in country,bornCountry,nobel,
nobel_category,entity_domain,,Nobel prize category,category,nobel,
nobel_died,time,,Date died,died,nobel,
nobel_died_city,string,,Died in city,diedCity,nobel,
nobel_died_country,role,country,Died in country,diedCountry,nobel,
nobel_firstname,string,,First name,firstname,nobel,
nobel_instance,entity_domain,,Nobel prize instance,,nobel,
nobel_laureate,entity_domain,,Laureate ID,id,nobel,
nobel_motivation,string,,Nobel prize motivation,motivation,nobel,
nobel_prize,entity_domain,,Nobel prize,,nobel,
nobel_surname,string,,Surname,surname,nobel,
sipri_currency,entity_domain,,Currency,,sipri,
sipri_milexp_cap,measure,,Military expenditure per capita,,sipri,Current USD
sipri_milexp_const,measure,,Military expenditure in constant USD,,sipri,USD
sipri_milexp_cur,measure,,Military expenditure in millions of current USD,,sipri,Current USD
sipri_milexp_gdp,measure,,Military expenditure as percentage of GDP,,sipri,percentage
sipri_milexp_gov,measure,,Military expenditure as percentage of of government spending,,sipri,percentage
sipri_milexp_locc_cal_years,measure,,Military expenditure in local currency calendar years,,sipri,
sipri_milexp_locc_fin_years,measure,,Military expenditure in local currency financial years,,sipri,
valforsk_in_mama,string,,Ingår i Mätningarnas mätning,,valforsk,
valforsk_mode,string,,Metod,,valforsk,
valforsk_opinion_value,measure,,Opinionsvärde,,valforsk,percentage
valforsk_pollster_link,string,,Länk till opinionsinstitut,,valforsk,
valforsk_samplesize,measure,,Svarande,,valforsk,
tax_justice_fsi_index,measure,,fsi_index,Tax Justice Network,,
tax_justice_secrecy_score,measure,,secrecy_score,Tax Justice Network,,
esv_expenditure,entity_domain,,Utgiftsområde,Utgiftsområde,esv,
esv_allocation,entity_domain,,Anslag,Anslag,esv,
esv_ingoing_transfer_amount,measure,,Ingående överföringsbelopp,Ingående överföringsbelopp,esv,
esv_budget,measure,,Statens budget,Statens budget,esv,
esv_update_budgets,measure,,Ändringsbudgetar,Ändringsbudgetar,esv,
esv_retractions,measure,,Indragningar,Indragningar,esv,
esv_exceed,measure,,Utnyttjad del av medgivet överskridande,Utnyttjad del av medgivet överskridande,esv,
esv_outcome,measure,,Utfall,Utfall,esv,
esv_allocation_credit,measure,,Anslagskredit,Anslagskredit,esv,
esv_outgoing_transfer_amount,measure,,Utgående överföringsbelopp,Utgående överföringsbelopp,esv,
worldbank_sp.dyn.tfrt.in,measure,,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,worldbank,
worldbank_sp.dyn.le00.in,measure,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,worldbank,
hdi_refugees_by_country_of_origin,measure,,Refugees by country of origin (thousands),Refugees by country of origin (thousands),hdi,
hdi_population_with_at_least_some_secondary_education,measure,,Population with at least some secondary education (% ages 25 and older),Population with at least some secondary education (% ages 25 and older),hdi,
hdi_population_with_at_least_some_secondary_education_female,measure,,"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, female (% ages 25 and older)",hdi,
hdi_population_with_at_least_some_secondary_education_male,measure,,"Population with at least some secondary education, male (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",hdi,
